feature,importance
volume_trend_7d,0.34851762853233875
volume_trend_14d,0.3262789036334438
txn_count_last_30d,0.07445906343377899
cat_Electicity,0.06255546805176704
txn_count_last_7d,0.055198459969961575
volume_trend_30d,0.03855829305682266
total_amount,0.030460456920498376
avg_amount,0.023516582216880664
txn_count_last_14d,0.010935865067295563
day,0.003783651629373884
cat_IIFLOOOOONATD9,0.0037331480764604625
txn_count_lag_3,0.002527196455923269
avg_amount_last_7d,0.0022750997491220747
days_to_month_end,0.0022744767119944552
txn_count_lag_1,0.001805447221210576
is_month_end,0.0017704261466206302
txn_count_lag_14,0.0017035295091927406
total_amount_lag_3,0.0015134691231370528
cat_Mobile,0.0009423565440208241
avg_amount_last_14d,0.0007786330437170791
txn_count_lag_7,0.0007785678061152846
cat_Loan,0.0007228689837579318
month_cos,0.0006447100689025565
month,0.0005794051588738005
cat_Utility,0.0005444448474552102
avg_amount_last_30d,0.0005182524385968071
total_amount_lag_7,0.00048057782853834453
total_amount_lag_14,0.00044284634379508273
avg_amount_lag_14,0.0002723573218836084
avg_amount_lag_7,0.0001732620283427878
total_amount_last_30d,0.00016735535135969145
avg_amount_lag_1,0.00014990052697945984
amount_trend_7d,0.00014241439237968465
total_amount_last_7d,0.00012645255622285934
total_amount_last_14d,0.00010267127829526
date_ordinal,9.775097499612452e-05
quarter,8.299210355443215e-05
day_of_week_sin,7.579081296913497e-05
avg_amount_lag_3,6.944358783188128e-05
amount_trend_14d,6.925792497531694e-05
total_amount_lag_1,5.5881951891300296e-05
day_of_week,4.330634631649162e-05
amount_trend_30d,2.9669392078119344e-05
cat_Credit Card,1.9584033499644e-05
month_sin,1.1659049241060202e-05
is_weekend,7.689499645916458e-06
cat_Water,1.8212020787520136e-06
year,8.259401192660439e-07
day_of_week_cos,8.515574334483057e-08
is_month_start,3.9815537656195124e-16
